split,symbol,direction,grade,first_failure,bars,avg_score,avg_depth,avg_value_hits
train,GLD,,,regime_extended_from_value,1006,0.0,0.0,0.0
train,GLD,,,regime_long_trend_quality,861,0.0,0.0,0.0
train,GLD,,,regime_ma_rsi_conflict,23325,0.0,0.0,0.0
train,GLD,,,regime_short_trend_quality,512,0.0,0.0,0.0
train,GLD,,,session_filter,46070,0.0,0.0,0.0
train,GLD,LONG,a_plus,confirmation_combo,9,0.0,0.6962077104958314,2.111111111111111
train,GLD,LONG,a_plus,confirmation_count,5,0.0,0.574975959283236,1.0
train,GLD,LONG,a_plus,daily_room,12,0.0,0.651682621302999,1.5833333333333333
train,GLD,LONG,a_plus,entry_ready,32,17.15625,0.6539017152078215,1.53125
train,GLD,LONG,a_plus,pullback_none,122,0.0,0.0,0.0
train,GLD,LONG,a_plus,score_no_risk,5,14.0,0.6687280451378266,2.2
train,GLD,LONG,a_plus,stop_invalid,1,0.0,0.7427597955707003,2.0
train,GLD,LONG,valid,confirmation_combo,29,0.0,0.6006426596196551,1.6551724137931034
train,GLD,LONG,valid,confirmation_count,34,0.0,0.6672853472815155,1.6470588235294117
train,GLD,LONG,valid,daily_room,15,0.0,0.675254334445436,1.5333333333333334
train,GLD,LONG,valid,entry_ready,128,16.09375,0.6305008853827708,1.828125
train,GLD,LONG,valid,pullback_none,360,0.0,0.0,0.0
train,GLD,LONG,valid,score_no_risk,21,13.380952380952381,0.692555058486552,2.3333333333333335
train,GLD,LONG,valid,stop_invalid,1,0.0,0.7264957264957294,2.0
train,GLD,SHORT,a_plus,confirmation_combo,4,0.0,0.4411424063124999,1.5
train,GLD,SHORT,a_plus,confirmation_count,6,0.0,0.611448345455707,1.5
train,GLD,SHORT,a_plus,daily_room,20,0.0,0.5535243572260821,1.4
train,GLD,SHORT,a_plus,entry_ready,28,16.5,0.5655642356327509,2.2142857142857144
train,GLD,SHORT,a_plus,pullback_none,82,0.0,0.0,0.0
train,GLD,SHORT,a_plus,score_no_risk,2,14.0,0.6509191984756804,2.0
train,GLD,SHORT,a_plus,stop_invalid,1,0.0,0.5310077519379895,1.0
train,GLD,SHORT,valid,confirmation_combo,31,0.0,0.5755318296756825,1.6774193548387097
train,GLD,SHORT,valid,confirmation_count,50,0.0,0.6400546011884761,1.98
train,GLD,SHORT,valid,daily_room,27,0.0,0.5784387064625192,1.4444444444444444
train,GLD,SHORT,valid,entry_ready,159,16.20125786163522,0.6095433279222582,1.8176100628930818
train,GLD,SHORT,valid,pullback_none,543,0.0,0.0,0.0
train,GLD,SHORT,valid,score_no_risk,26,13.538461538461538,0.690218292846204,2.3076923076923075
train,QQQ,,,regime_extended_from_value,415,0.0,0.0,0.0
train,QQQ,,,regime_long_trend_quality,523,0.0,0.0,0.0
train,QQQ,,,regime_ma_rsi_conflict,14174,0.0,0.0,0.0
train,QQQ,,,regime_short_trend_quality,182,0.0,0.0,0.0
train,QQQ,,,session_filter,57942,0.0,0.0,0.0
train,QQQ,LONG,a_plus,confirmation_combo,1,0.0,0.5006775067750672,3.0
train,QQQ,LONG,a_plus,daily_room,9,0.0,0.4181166476552694,2.111111111111111
train,QQQ,LONG,a_plus,entry_ready,11,17.636363636363637,0.760677038980496,2.909090909090909
train,QQQ,LONG,a_plus,pullback_none,34,0.0,0.0,0.0
train,QQQ,LONG,valid,confirmation_combo,7,0.0,0.5727194790625942,2.2857142857142856
train,QQQ,LONG,valid,confirmation_count,8,0.0,0.6095605331892312,1.625
train,QQQ,LONG,valid,daily_room,3,0.0,0.5108137453414305,2.3333333333333335
train,QQQ,LONG,valid,entry_ready,92,17.054347826086957,0.6308951664589297,1.9673913043478262
train,QQQ,LONG,valid,pullback_none,119,0.0,0.0,0.0
train,QQQ,LONG,valid,score_no_risk,1,13.0,0.7222832052689324,2.0
train,QQQ,SHORT,a_plus,direction_shorts_disabled,35,0.0,0.0,0.0
train,QQQ,SHORT,valid,direction_shorts_disabled,491,0.0,0.0,0.0
oos,GLD,,,regime_extended_from_value,105,0.0,0.0,0.0
oos,GLD,,,regime_long_trend_quality,130,0.0,0.0,0.0
oos,GLD,,,regime_ma_rsi_conflict,2284,0.0,0.0,0.0
oos,GLD,,,regime_short_trend_quality,24,0.0,0.0,0.0
oos,GLD,,,session_filter,4685,0.0,0.0,0.0
oos,GLD,LONG,valid,confirmation_combo,1,0.0,0.5163104611923505,1.0
oos,GLD,LONG,valid,confirmation_count,2,0.0,0.5354330708661414,1.0
oos,GLD,LONG,valid,entry_ready,9,16.88888888888889,0.5752529363011097,1.1111111111111112
oos,GLD,LONG,valid,pullback_none,2,0.0,0.0,0.0
oos,GLD,SHORT,a_plus,confirmation_combo,1,0.0,0.546315789473687,2.0
oos,GLD,SHORT,a_plus,daily_room,1,0.0,0.7198581560283709,2.0
oos,GLD,SHORT,a_plus,pullback_none,28,0.0,0.0,0.0
oos,GLD,SHORT,a_plus,score_no_risk,3,14.0,0.546315789473687,2.0
oos,GLD,SHORT,valid,confirmation_combo,2,0.0,0.6881102295553745,2.0
oos,GLD,SHORT,valid,confirmation_count,4,0.0,0.7035578525460913,2.0
oos,GLD,SHORT,valid,daily_room,17,0.0,0.7076561626684674,2.5294117647058822
oos,GLD,SHORT,valid,entry_ready,13,15.461538461538462,0.7437269526011968,2.6153846153846154
oos,GLD,SHORT,valid,pullback_none,73,0.0,0.0,0.0
oos,GLD,SHORT,valid,score_no_risk,1,13.0,0.7426127527216175,3.0
oos,QQQ,,,regime_extended_from_value,14,0.0,0.0,0.0
oos,QQQ,,,regime_long_trend_quality,82,0.0,0.0,0.0
oos,QQQ,,,regime_ma_rsi_conflict,1387,0.0,0.0,0.0
oos,QQQ,,,regime_short_trend_quality,28,0.0,0.0,0.0
oos,QQQ,,,session_filter,6229,0.0,0.0,0.0
oos,QQQ,LONG,a_plus,confirmation_combo,1,0.0,0.6410256410256437,1.0
oos,QQQ,LONG,a_plus,entry_ready,3,17.666666666666668,0.6410256410256437,1.0
oos,QQQ,LONG,a_plus,pullback_none,14,0.0,0.0,0.0
oos,QQQ,LONG,valid,confirmation_combo,4,0.0,0.6832917377737775,2.0
oos,QQQ,LONG,valid,confirmation_count,2,0.0,0.7041690181928864,2.0
oos,QQQ,LONG,valid,entry_ready,14,16.428571428571427,0.5782495209626922,2.142857142857143
oos,QQQ,LONG,valid,pullback_none,40,0.0,0.0,0.0
oos,QQQ,SHORT,a_plus,direction_shorts_disabled,20,0.0,0.0,0.0
oos,QQQ,SHORT,valid,direction_shorts_disabled,67,0.0,0.0,0.0
